,name,price,address,lease_type,house_type,lease_start_year,district_code,near_stat,near_stat_mins,bdrm,bath,sqm,sqft
2192,2 Bed Condo in Lloyd Sixtyfive,9000.0,65 Lloyd Rd ,Freehold,HDB,2017,9,Somerset,4,2,2,157.01,1690
2193,3 Bed Condo in Pastoral View,4500.0,7 Bassein Rd ,Freehold,HDB,1986,11,Novena,7,3,2,116.96,1259
2194,4 Bed Condo in Keng Soon Building,8200.0,104 Prinsep St ,Unknown,HDB,0,7,Rochor,4,4,4,232.26,2500
2195,2 Bed Condo in Parc Rosewood,3000.0,83 Rosewood Dr ,Lease_99,Condominium,2014,25,,-1,2,1,56.02,603
2196,4 Bed Condo in Ardmore Residence,37000.0,7 Ardmore Pk ,Freehold,Condominium,2013,10,,-1,4,4,295.9,3185
2197,5 Room HDB in 678C Jurong West Street 64,3400.0,None,Lease_99,HDB,2008,0,,-1,3,2,,1184
2198,4 Bed Condo in Horizon Residences,10000.0,41 Pasir Panjang Hill ,Freehold,Unknown,0,5,Haw Par Villa,3,4,4,,2734
2199,3 Room HDB in 64 Marine Drive,3500.0,None,Lease_99,HDB,1976,0,,-1,2,1,69.68,750
2200,3 Bed Condo in Park Colonial,5600.0,2 Woodleigh Lane ,Lease_99,Condominium,2022,13,Woodleigh,2,3,2,91.04,980
2201,3 Bed Condo in Park Colonial,5600.0,2 Woodleigh Lane ,Lease_99,Condominium,2022,13,Woodleigh,2,3,2,91.04,980
2202,3 Bed Condo in Park Colonial,5600.0,2 Woodleigh Lane ,Lease_99,Condominium,2022,13,Woodleigh,2,3,2,91.04,980
2203,1 Bed Condo in The Laurels,4200.0,38 Cairnhill Rd ,Freehold,Condominium,2013,9,Somerset,7,1,1,,549
2204,5 Bed House on Cove Drive,50000.0, Cove Dr ,Unknown,Good_Class_Bungalow,0,4,,-1,5,6,975.48,10500
2205,3 Bed Condo in The Rise @ Oxley,4500.0,71 Oxley Rise ,Freehold,HDB,2018,9,Dhoby Ghaut,4,3,2,75.99,818
2206,2 Bed Condo in Euphony Gardens,3500.0,11 Jln Mata Ayer ,Lease_99,Unknown,0,27,,-1,2,2,94.95,1022
2207,2 Bed Condo in Optima @ Tanah Merah,3900.0,80 Tanah Merah Kechil Ave ,Lease_99,HDB,2012,16,Tanah Merah,1,2,2,85.01,915
2208,4 Bed Condo in Skypark,22950.0,22 St. Thomas Walk ,Freehold,HDB,2010,9,Somerset,5,4,3,310.95,3347
2209,3 Bed Condo in Marina One Residences,9000.0,21 Marina Way ,Lease_99,Unknown,0,1,Marina Bay,2,3,3,142.98,1539
2210,4 Bed Condo in One Amber,8500.0,3 Amber Gdns ,Freehold,Condominium,2010,15,,-1,4,4,154.03,1658
2211,1 Bed Condo in The Rochester Residences,4200.0,33 Rochester Dr ,Lease_99,HDB,2011,5,Buona Vista,3,1,1,81.01,872
2212,6 Bed House on Toh Estate,14500.0, Toh Hts ,Freehold,Good_Class_Bungalow,2013,17,,-1,6,5,712.57,7670
2213,1 Bed Condo in The Seawind,3500.0,76 Lor M Telok Kurau ,Freehold,Condominium,2015,15,,-1,1,1,60.02,646
2214,3 Bed Condo in Park Colonial,6500.0,2 Woodleigh Lane ,Lease_99,Condominium,2022,13,Woodleigh,2,3,3,99.03,1066
2215,3 Bed Condo in The Club Residences,25000.0,1 The Knolls ,Lease_99,HDB,999,4,,-1,3,4,221.95,2389
2216,3 Room HDB in 112 Bukit Purmei Road,2500.0,None,Lease_99,HDB,1985,0,,-1,2,2,73.95,796
2217,4 Room HDB in 726 Yishun Street 71,2900.0,None,Lease_99,HDB,1985,0,,-1,2,2,84.08,905
2218,4 Bed Condo in One Chatsworth,20000.0,1 Chatsworth Rd ,Freehold,Condominium,1976,10,,-1,4,5,307.04,3305
2219,4 Bed Condo in Thomson Grand,10500.0,43 Sin Ming Walk ,Lease_99,Condominium,2015,20,,-1,4,5,493.97,5317
2220,2 Bed Condo in The Peak @ Cairnhill II,8500.0,61 Cairnhill Circle ,Freehold,Condominium,2015,9,Newton,6,2,2,175.03,1884
2221,4 Bed House on Thomson Garden Estate,7500.0, Jln Rabu ,Freehold,Unknown,1998,20,,-1,4,2,278.71,3000
2222,1 Bed Condo in The Cape,3700.0,25 Amber Rd ,Freehold,HDB,2014,15,,-1,1,1,52.95,570
2223,3 Bed Condo in Orchard Scotts,13600.0,7 Anthony Rd ,Lease_99,Condominium,2007,9,Newton,4,3,5,193.98,2088
2224,3 Bed HDB in 791 Woodlands Avenue 6,3888.0,None,Lease_99,HDB,1997,0,Admiralty,3,3,2,123.93,1334
2225,4 Room HDB in 2 Everton Park,4000.0,None,Lease_99,HDB,1980,0,Outram Park,6,4,2,58.06,625
2226,3 Bed HDB in 649 Woodlands Ring Road,3500.0,None,Lease_99,HDB,1998,0,Admiralty,2,3,2,92.9,1000
2227,2 Bed Condo in Park Colonial,3900.0,2 Woodleigh Lane ,Lease_99,Condominium,2022,13,Woodleigh,2,2,2,58.53,630
2228,3 Bed Condo in Bayville Condominium,6500.0,42 Sth Buona Vista Rd ,Freehold,Condominium,1996,5,,-1,3,2,116.78,1257
2229,4 Room HDB in 120 Hougang Avenue 1,3500.0,None,Lease_99,HDB,1983,0,,-1,3,2,95.13,1024
2230,2 Bed Condo in Park Colonial,4000.0,2 Woodleigh Lane ,Lease_99,Condominium,2022,13,Woodleigh,2,2,2,62.99,678
2231,8 Bed House on Beechwood Grove,16800.0, Beechwood Grove ,Unknown,Good_Class_Bungalow,0,25,,-1,8,10,760.23,8183
2232,5 Bed House on Garlick Avenue,18000.0, Garlick Ave ,Unknown,Good_Class_Bungalow,0,10,,-1,5,3,353.03,3800
2233,3 Room HDB in 808B Choa Chu Kang Avenue 1,2800.0,None,Lease_99,HDB,2017,0,,-1,3,2,91.97,990
2234,5 Bed House on Toh Avenue,12500.0, Toh Ave ,Unknown,Unknown,0,17,,-1,5,6,453.83,4885
2235,6 Bed House on Toh Estate,14500.0, Chin Terrace ,Freehold,Good_Class_Bungalow,2013,17,,-1,6,7,712.57,7670
2236,4 Bed Condo in The View @ Meyer,14000.0,46 Meyer Rd ,Freehold,HDB,2009,15,,-1,4,4,391.03,4209
